Idx,Sensor_008,Sensor_035,Sensor_038,Sensor_048,Sensor_050
201411,20.75,25,18,17,24
201411,38.25,38,36,42,53
201411,35.75,42,33,45,42
201411,26.5,31,17,28,23
201411,20,26,21,28,23
201411,19.75,19,15,23,20
201411,19.75,15,11,18,20
201411,18.25,16,16,25,26
201411,20.25,20,19,31,29
201411,21.25,23,23,34,29
201411,21.75,26,27,31,29
201411,24.75,24,28,33,35
201411,30.75,24,30,35,41
201411,32.75,23,31,42,43
201411,38.25,32,37,49,42
201411,36.75,42,31,50,35
201411,36.25,36,36,47,44
201411,38,36,40,49,50
201411,43.25,37,48,49,56
201411,44.5,41,52,51,60
201411,47.5,48,52,58,58
201411,42.5,39,38,48,48
201411,27.25,20,26,33,30
201411,21.75,16,18,22,25
201412,12.75,10,9,14,14
201412,8.25,9,6,11,9
201412,5.25,8,6,8,6
201412,6,12,6,8,6
201412,7.75,8,7,10,8
201412,8.25,12,7,12,9
201412,19.5,17,11,24,23
201412,40,31,32,44,46
201412,56.75,56,53,64,73
201412,59,64,65,74,72
201412,61.5,73,67,76,71
201412,61.25,59,65,74,72
201412,54,57,55,66,68
201412,55.25,53,50,65,73
201412,44,36,38,55,57
201412,34.5,30,33,49,46
201412,37.25,36,39,52,49
201412,41.5,36,43,60,55
201412,44.75,35,43,62,61
201412,46.5,41,46,62,62
201412,39.75,33,38,55,51
201412,30.75,26,28,47,42
201412,23.75,22,18,31,25
201412,16.75,17,11,25,18
201413,14.5,13,11,18,17
201413,13,14,10,18,17
201413,8,10,6,11,10
201413,6,9,5,8,5
201413,6.75,7,5,9,7
201413,6.75,12,5,9,5
201413,14.25,13,9,17,12
201413,28.5,21,21,40,32
201413,37,33,32,49,39
201413,36,35,31,44,36
201413,34.25,37,30,46,35
201413,36,32,32,45,43
201413,40.75,32,31,48,55
201413,41.25,40,39,55,59
201413,46.5,44,41,53,63
201413,42.5,44,35,54,55
201413,49.25,47,39,62,60
201413,60.5,55,58,66,77
201413,67.5,59,59,67,79
201413,71,66,69,74,88
201413,73,65,68,72,89
201413,60,59,65,68,69
201413,46.5,46,50,56,58
201413,37.75,39,37,47,44
201414,24.75,31,25,37,35
201414,20.75,19,14,26,25
201414,14.75,16,10,19,15
201414,9.75,12,7,16,10
201414,7.25,9,5,9,6
201414,6.25,8,5,10,5
201414,8.5,8,5,12,9
201414,9.5,10,6,14,8
201414,13.25,17,11,19,16
201414,24.25,22,20,25,29
201414,21.5,18,18,25,27
201414,21,17,17,25,28
201414,23.25,19,21,38,30
201414,23.75,22,20,35,31
201414,22.25,20,19,29,26
201414,21,25,16,25,25
201414,24,27,16,26,27
201414,27,37,21,31,31
201414,34.5,43,24,33,40
201414,34.75,53,32,33,35
201414,44.5,55,36,48,62
201414,43,51,33,45,55
201414,35,40,25,31,41
201414,23,20,15,25,27
201415,22.5,21,17,25,23
201415,20.5,22,16,26,19
201415,17.25,19,15,29,21
201415,15.25,18,12,24,17
201415,13,10,8,16,12
201415,13.75,15,10,18,16
201415,16.5,11,10,16,19
201415,14,15,12,22,14
201415,15,14,14,21,13
201415,16.5,26,14,21,15
201415,21.5,29,22,37,27
201415,30.75,30,30,41,41
201415,31.5,22,25,37,43
201415,29,20,28,36,38
201415,29.75,24,27,36,41
201415,26,27,20,36,34
201415,25,26,28,34,31
201415,34.75,29,36,44,42
201415,36,32,43,42,42
201415,42.5,32,42,50,53
201415,53,42,48,56,56
201415,48.75,43,38,50,48
201415,46.75,44,44,54,53
201415,39.5,36,32,43,46
201416,28.25,42,36,46,45
201416,29,40,33,41,43
201416,32,42,38,46,43
201416,30.75,39,38,44,41
201416,22.75,30,24,28,27
201416,21.5,24,23,26,26
201416,25.25,28,23,34,29
201416,26,29,24,38,31
201416,32.25,30,35,46,30
201416,30,32,28,47,28
201416,30.5,26,29,32,39
201416,27.75,28,28,32,36
201416,27.5,19,23,28,33
201416,27.5,17,29,30,38
201416,33.5,20,37,38,49
201416,25.75,20,26,32,36
201416,31,19,35,37,45
201416,51.25,33,54,55,72
201416,66,50,69,68,77
201416,70.5,74,78,74,75
201416,71,75,78,84,82
201416,81.5,69,66,81,102
201416,65.25,51,65,68,71
201416,53.25,52,50,45,53
201417,47.75,40,41,36,39
201417,30.75,26,29,25,26
201417,30.25,53,23,30,22
201417,30.5,50,28,49,36
201417,40.25,46,43,41,42
201417,41.5,42,31,40,32
201417,46.25,35,45,51,44
201417,57,53,64,65,62
201417,67.25,60,78,69,64
201417,65.75,69,86,74,64
201417,55,69,72,63,57
201417,46.75,63,65,55,47
201417,38.25,36,48,51,49
201417,32.5,30,32,40,38
201417,31.25,33,41,41,40
201417,34.25,39,42,40,42
201417,45,37,56,50,52
201417,46.25,49,59,51,48
201417,63.25,51,74,71,59
201417,68.75,52,86,66,75
201417,72.5,79,95,72,81
201417,70.25,75,76,70,64
201417,66,73,73,61,64
201417,56.25,60,67,53,60
201418,44.5,53,47,40,43
201418,37.5,48,40,31,29
201418,37.5,48,34,35,31
201418,35.5,44,31,35,39
201418,31.75,42,33,32,34
201418,33.75,44,34,26,39
201418,39,44,36,36,36
201418,56.25,59,55,53,52
201418,72.5,75,87,74,74
201418,82.5,88,99,88,77
201418,62,99,100,92,74
201418,55.5,98,92,82,74
201418,65.25,93,91,57,53
201418,53,75,69,51,37
201418,47.75,69,80,52,41
201418,58.5,75,82,65,56
201418,70.25,86,90,75,68
201418,82.25,98,112,82,71
201418,84.25,97,121,91,89
201418,94.75,105,130,100,113
201418,85.25,88,127,85,92
201418,74.75,80,96,72,72
201418,67.75,76,78,64,73
201418,54.75,70,62,55,55
201419,45,65,53,41,51
201419,39.25,55,46,30,50
201419,34.5,42,37,29,45
201419,27.75,36,25,24,32
201419,25.75,40,28,21,30
201419,29.5,43,33,21,30
201419,41,58,51,35,40
201419,63,59,92,57,62
201419,81.5,81,100,74,78
201419,81.5,90,111,73,81
201419,65,82,97,61,60
201419,59.5,88,86,56,55
201419,58.75,84,76,57,55
201419,60.5,85,74,66,53
201419,60,81,88,73,57
201419,68,91,110,91,70
201419,87.25,103,107,100,83
201419,100,102,118,98,88
201419,110.25,113,172,112,111
201419,107.5,114,206,119,123
201419,100.25,128,221,129,106
201419,95.5,121,179,105,115
201419,79,103,105,79,84
201419,61.25,74,83,61,62
2014110,52.25,67,65,46,48
2014110,39.75,60,61,34,42
2014110,30.75,57,59,26,33
2014110,25.25,50,54,24,32
2014110,23.75,50,44,17,29
2014110,24.5,40,35,16,25
2014110,37,47,38,27,34
2014110,58.5,51,68,51,53
2014110,77,80,106,74,70
2014110,81.5,97,114,76,74
2014110,61.5,104,87,55,51
2014110,55.5,76,70,55,44
2014110,58,78,76,51,48
2014110,65,90,82,67,71
2014110,60,75,93,58,72
2014110,61,65,68,54,59
2014110,66,76,84,56,65
2014110,83.75,77,93,75,81
2014110,104.75,96,131,92,106
2014110,117.75,124,147,111,144
2014110,115,129,144,113,120
2014110,104.75,119,132,122,105
2014110,89.25,91,88,85,93
2014110,67,73,72,69,77
2014111,41.5,47,53,48,42
2014111,38.5,41,45,43,41
2014111,41.25,44,39,47,36
2014111,45.5,42,46,44,48
2014111,43.25,50,60,41,33
2014111,37.25,53,59,38,33
2014111,46.25,47,57,50,46
2014111,56,50,57,59,57
2014111,59.75,53,75,61,73
2014111,62.75,55,77,62,66
2014111,76,55,64,66,80
2014111,61,59,68,71,82
2014111,64.75,68,73,87,65
2014111,61.5,62,78,85,74
2014111,56.5,65,86,78,67
2014111,48.5,62,84,73,58
2014111,50,58,75,73,53
2014111,68,63,73,81,89
2014111,83.5,78,87,87,108
2014111,90.75,81,93,87,105
2014111,85.5,67,75,70,86
2014111,78,62,84,72,71
2014111,80.5,68,92,70,85
2014111,77.25,65,67,60,74
2014112,78.25,81,80,69,72
2014112,73.5,92,69,85,71
2014112,75,70,91,87,90
2014112,66,58,84,77,83
2014112,53,47,69,63,47
2014112,46.25,47,58,55,42
2014112,47,45,57,54,43
2014112,48,45,52,55,50
2014112,47.25,44,51,52,50
2014112,42,46,53,47,41
2014112,42.5,48,55,49,43
2014112,42.75,48,63,53,45
2014112,45.25,46,62,56,47
2014112,52.25,51,60,59,60
2014112,53.75,55,63,62,65
2014112,56,57,60,65,64
2014112,59.25,55,60,61,58
2014112,65,65,65,69,64
2014112,70.75,62,77,70,80
2014112,72.25,69,77,77,76
2014112,70.75,66,71,69,80
2014112,65.75,63,74,67,80
2014112,62.75,68,69,64,74
2014112,54.5,57,63,61,60
2014113,45.25,45,53,49,51
2014113,35.25,40,41,39,36
2014113,30,36,35,40,35
2014113,29.75,36,27,34,25
2014113,27.25,28,28,28,26
2014113,22,24,18,17,20
2014113,31.75,27,29,30,40
2014113,53,32,44,46,68
2014113,65.25,42,59,51,86
2014113,73.75,61,73,69,87
2014113,69.25,66,64,70,82
2014113,53,49,51,54,65
2014113,41.5,37,40,47,54
2014113,38.75,39,35,39,54
2014113,32.25,34,30,33,47
2014113,32.25,40,33,34,43
2014113,38.75,39,38,42,49
2014113,41,52,49,48,53
2014113,70.5,64,77,71,87
2014113,84,61,84,81,107
2014113,80.75,64,76,80,91
2014113,54.75,45,60,59,57
2014113,35,30,32,41,34
2014113,21.25,18,19,24,22
2014114,15.75,12,13,17,12
2014114,11.25,12,9,14,13
2014114,7.5,11,6,8,7
2014114,6.75,7,6,9,6
2014114,5.75,6,5,8,5
2014114,6.75,8,5,8,7
2014114,18.25,11,10,16,21
2014114,20.5,23,31,42,43
2014114,29.5,31,42,58,63
2014114,31,33,38,57,65
2014114,23,32,34,51,49
2014114,20.5,32,34,48,46
2014114,18.25,23,29,42,39
2014114,20,25,31,39,43
2014114,24.5,24,33,41,42
2014114,41,30,33,37,48
2014114,47.25,35,48,57,56
2014114,53.25,31,48,64,64
2014114,60.5,44,42,58,58
2014114,58.75,54,54,65,66
2014114,61.25,58,65,75,73
2014114,46.75,43,38,46,46
2014114,31.25,35,26,30,34
2014114,29,31,21,23,28
2014115,27.5,30,23,31,29
2014115,20,18,12,20,16
2014115,16.75,17,11,17,16
2014115,21.75,18,12,20,21
2014115,22.5,16,11,20,14
2014115,29.5,17,17,22,19
2014115,46.75,47,38,51,45
2014115,80.75,57,78,78,92
2014115,91,72,75,85,103
2014115,83.5,68,71,72,85
2014115,69.5,55,52,62,66
2014115,59,34,53,53,70
2014115,58.75,45,47,58,65
2014115,55.25,35,49,51,68
2014115,53.25,32,43,50,69
2014115,48.75,30,41,45,61
2014115,54,37,44,56,63
2014115,52,36,49,53,53
2014115,58.75,49,52,71,69
2014115,61,53,58,73,69
2014115,54.75,49,50,61,67
2014115,44.5,31,45,50,53
2014115,44,33,36,42,50
2014115,38,39,31,43,39
2014116,30.25,37,36,37,36
2014116,23.5,34,34,31,29
2014116,20.75,29,26,30,25
2014116,14.5,16,12,18,13
2014116,16.25,12,8,14,10
2014116,19.5,12,10,14,13
2014116,28.25,18,17,24,31
2014116,58.75,40,55,52,82
2014116,72.75,54,70,78,90
2014116,70.5,41,60,62,82
2014116,48.75,43,44,51,55
2014116,43,27,41,44,51
2014116,39.25,26,34,45,56
2014116,35.25,25,31,45,47
2014116,35,23,32,42,50
2014116,31,21,27,39,42
2014116,34,21,24,46,49
2014116,40.5,27,37,49,52
2014116,50.75,35,47,64,61
2014116,58.25,41,58,69,69
2014116,52.25,39,45,59,65
2014116,47.25,39,40,55,55
2014116,38.25,31,30,47,45
2014116,27.5,25,23,38,29
2014117,22,18,20,26,21
2014117,16.75,17,13,24,17
2014117,13,15,11,16,15
2014117,13,14,8,14,12
2014117,16.25,13,9,16,13
2014117,22.5,39,21,30,23
2014117,41.25,42,35,48,45
2014117,63.5,63,64,67,69
2014117,72.5,61,73,67,77
2014117,65.5,66,72,64,68
2014117,54.25,54,57,55,58
2014117,41.25,43,44,46,47
2014117,37,30,38,42,40
2014117,34.75,33,39,40,41
2014117,36,38,39,47,41
2014117,38,49,39,48,41
2014117,40.5,41,42,55,42
2014117,43.75,45,49,54,53
2014117,48.5,41,45,64,63
2014117,51.5,56,62,60,62
2014117,51,57,58,56,62
2014117,50.5,58,59,59,63
2014117,38.25,53,46,46,48
2014117,33.5,49,40,37,44
2014118,31.5,46,38,39,40
2014118,22,38,27,30,26
2014118,17,35,20,28,17
2014118,18.5,34,17,26,18
2014118,17.5,34,18,24,16
2014118,13,30,19,21,14
2014118,19.75,25,15,22,24
