,Idx,Mean_S008,Mean_S035,Mean_S038,Mean_S048,Mean_S050
0,20140101,20.75,25.0,18.0,17.0,24.0
1,20140101,38.25,38.0,36.0,42.0,53.0
2,20140101,35.75,42.0,33.0,45.0,42.0
3,20140101,26.5,31.0,17.0,28.0,23.0
4,20140101,20.0,26.0,21.0,28.0,23.0
5,20140101,19.75,19.0,15.0,23.0,20.0
6,20140101,19.75,15.0,11.0,18.0,20.0
7,20140101,18.25,16.0,16.0,25.0,26.0
8,20140101,20.25,20.0,19.0,31.0,29.0
9,20140101,21.25,23.0,23.0,34.0,29.0
10,20140101,21.75,26.0,27.0,31.0,29.0
11,20140101,24.75,24.0,28.0,33.0,35.0
12,20140101,30.75,24.0,30.0,35.0,41.0
13,20140101,32.75,23.0,31.0,42.0,43.0
14,20140101,38.25,32.0,37.0,49.0,42.0
15,20140101,36.75,42.0,31.0,50.0,35.0
16,20140101,36.25,36.0,36.0,47.0,44.0
17,20140101,38.0,36.0,40.0,49.0,50.0
18,20140101,43.25,37.0,48.0,49.0,56.0
19,20140101,44.5,41.0,52.0,51.0,60.0
20,20140101,47.5,48.0,52.0,58.0,58.0
21,20140101,42.5,39.0,38.0,48.0,48.0
22,20140101,27.25,20.0,26.0,33.0,30.0
23,20140101,21.75,16.0,18.0,22.0,25.0
24,20140102,12.75,10.0,9.0,14.0,14.0
25,20140102,8.25,9.0,6.0,11.0,9.0
26,20140102,5.25,8.0,6.0,8.0,6.0
27,20140102,6.0,12.0,6.0,8.0,6.0
28,20140102,7.75,8.0,7.0,10.0,8.0
29,20140102,8.25,12.0,7.0,12.0,9.0
30,20140102,19.5,17.0,11.0,24.0,23.0
31,20140102,40.0,31.0,32.0,44.0,46.0
32,20140102,56.75,56.0,53.0,64.0,73.0
33,20140102,59.0,64.0,65.0,74.0,72.0
34,20140102,61.5,73.0,67.0,76.0,71.0
35,20140102,61.25,59.0,65.0,74.0,72.0
36,20140102,54.0,57.0,55.0,66.0,68.0
37,20140102,55.25,53.0,50.0,65.0,73.0
38,20140102,44.0,36.0,38.0,55.0,57.0
39,20140102,34.5,30.0,33.0,49.0,46.0
40,20140102,37.25,36.0,39.0,52.0,49.0
41,20140102,41.5,36.0,43.0,60.0,55.0
42,20140102,44.75,35.0,43.0,62.0,61.0
43,20140102,46.5,41.0,46.0,62.0,62.0
44,20140102,39.75,33.0,38.0,55.0,51.0
45,20140102,30.75,26.0,28.0,47.0,42.0
46,20140102,23.75,22.0,18.0,31.0,25.0
47,20140102,16.75,17.0,11.0,25.0,18.0
48,20140103,14.5,13.0,11.0,18.0,17.0
49,20140103,13.0,14.0,10.0,18.0,17.0
50,20140103,8.0,10.0,6.0,11.0,10.0
51,20140103,6.0,9.0,5.0,8.0,5.0
52,20140103,6.75,7.0,5.0,9.0,7.0
53,20140103,6.75,12.0,5.0,9.0,5.0
54,20140103,14.25,13.0,9.0,17.0,12.0
55,20140103,28.5,21.0,21.0,40.0,32.0
56,20140103,37.0,33.0,32.0,49.0,39.0
57,20140103,36.0,35.0,31.0,44.0,36.0
58,20140103,34.25,37.0,30.0,46.0,35.0
59,20140103,36.0,32.0,32.0,45.0,43.0
60,20140103,40.75,32.0,31.0,48.0,55.0
61,20140103,41.25,40.0,39.0,55.0,59.0
62,20140103,46.5,44.0,41.0,53.0,63.0
63,20140103,42.5,44.0,35.0,54.0,55.0
64,20140103,49.25,47.0,39.0,62.0,60.0
65,20140103,60.5,55.0,58.0,66.0,77.0
66,20140103,67.5,59.0,59.0,67.0,79.0
67,20140103,71.0,66.0,69.0,74.0,88.0
68,20140103,73.0,65.0,68.0,72.0,89.0
69,20140103,60.0,59.0,65.0,68.0,69.0
70,20140103,46.5,46.0,50.0,56.0,58.0
71,20140103,37.75,39.0,37.0,47.0,44.0
72,20140104,24.75,31.0,25.0,37.0,35.0
73,20140104,20.75,19.0,14.0,26.0,25.0
74,20140104,14.75,16.0,10.0,19.0,15.0
75,20140104,9.75,12.0,7.0,16.0,10.0
76,20140104,7.25,9.0,5.0,9.0,6.0
77,20140104,6.25,8.0,5.0,10.0,5.0
78,20140104,8.5,8.0,5.0,12.0,9.0
79,20140104,9.5,10.0,6.0,14.0,8.0
80,20140104,13.25,17.0,11.0,19.0,16.0
81,20140104,24.25,22.0,20.0,25.0,29.0
82,20140104,21.5,18.0,18.0,25.0,27.0
83,20140104,21.0,17.0,17.0,25.0,28.0
84,20140104,23.25,19.0,21.0,38.0,30.0
85,20140104,23.75,22.0,20.0,35.0,31.0
86,20140104,22.25,20.0,19.0,29.0,26.0
87,20140104,21.0,25.0,16.0,25.0,25.0
88,20140104,24.0,27.0,16.0,26.0,27.0
89,20140104,27.0,37.0,21.0,31.0,31.0
90,20140104,34.5,43.0,24.0,33.0,40.0
91,20140104,34.75,53.0,32.0,33.0,35.0
92,20140104,44.5,55.0,36.0,48.0,62.0
93,20140104,43.0,51.0,33.0,45.0,55.0
94,20140104,35.0,40.0,25.0,31.0,41.0
95,20140104,23.0,20.0,15.0,25.0,27.0
96,20140105,22.5,21.0,17.0,25.0,23.0
97,20140105,20.5,22.0,16.0,26.0,19.0
98,20140105,17.25,19.0,15.0,29.0,21.0
99,20140105,15.25,18.0,12.0,24.0,17.0
100,20140105,13.0,10.0,8.0,16.0,12.0
101,20140105,13.75,15.0,10.0,18.0,16.0
102,20140105,16.5,11.0,10.0,16.0,19.0
103,20140105,14.0,15.0,12.0,22.0,14.0
104,20140105,15.0,14.0,14.0,21.0,13.0
105,20140105,16.5,26.0,14.0,21.0,15.0
106,20140105,21.5,29.0,22.0,37.0,27.0
107,20140105,30.75,30.0,30.0,41.0,41.0
108,20140105,31.5,22.0,25.0,37.0,43.0
109,20140105,29.0,20.0,28.0,36.0,38.0
110,20140105,29.75,24.0,27.0,36.0,41.0
111,20140105,26.0,27.0,20.0,36.0,34.0
112,20140105,25.0,26.0,28.0,34.0,31.0
113,20140105,34.75,29.0,36.0,44.0,42.0
114,20140105,36.0,32.0,43.0,42.0,42.0
115,20140105,42.5,32.0,42.0,50.0,53.0
116,20140105,53.0,42.0,48.0,56.0,56.0
117,20140105,48.75,43.0,38.0,50.0,48.0
118,20140105,46.75,44.0,44.0,54.0,53.0
119,20140105,39.5,36.0,32.0,43.0,46.0
